epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3605,2.19266,3.69101,1.94381,0.64757,0.16511,0.312,0.12708,1.95247,2.827,1.56653,0.000299165,0.000299165,0.000299165
2,66.3737,1.91808,2.83013,1.62383,0.41947,0.36255,0.41332,0.1731,1.99043,2.26387,1.61977,0.000590242,0.000590242,0.000590242
3,94.2669,1.90443,2.64989,1.60941,0.47303,0.40882,0.43756,0.19308,1.94397,2.24417,1.63609,0.00086932,0.00086932,0.00086932
4,124.859,1.86897,2.51379,1.58744,0.51529,0.26551,0.28976,0.12966,1.99348,2.53021,1.65296,0.000855005,0.000855005,0.000855005
5,153.267,1.85583,2.37389,1.58038,0.52278,0.37469,0.4251,0.19113,2.00352,2.26103,1.65878,0.000837007,0.000837007,0.000837007
6,181.197,1.79725,2.27073,1.53017,0.4915,0.47172,0.49394,0.23997,1.87404,2.07384,1.6131,0.000819009,0.000819009,0.000819009
7,209.251,1.76542,2.16555,1.52968,0.51565,0.41193,0.46303,0.20253,1.94924,2.14171,1.68324,0.000801011,0.000801011,0.000801011
8,238.886,1.73848,2.0678,1.50262,0.45349,0.53197,0.5009,0.21365,2.01253,1.99547,1.67786,0.000783013,0.000783013,0.000783013
9,267.918,1.68743,1.93757,1.44893,0.54394,0.50502,0.53097,0.2535,1.90556,1.86191,1.60593,0.000765014,0.000765014,0.000765014
10,294.769,1.70582,1.93419,1.4798,0.48017,0.50014,0.50334,0.24163,1.94696,1.98232,1.63669,0.000747016,0.000747016,0.000747016
11,322.548,1.65765,1.83335,1.43285,0.37154,0.52283,0.48848,0.22779,1.94064,1.85257,1.62695,0.000729018,0.000729018,0.000729018
12,350.245,1.61087,1.74989,1.42343,0.48699,0.54737,0.54326,0.24391,1.99506,1.91222,1.63101,0.00071102,0.00071102,0.00071102
13,377.31,1.60777,1.69896,1.39768,0.49254,0.51998,0.53939,0.25079,1.89041,1.76377,1.57784,0.000693022,0.000693022,0.000693022
14,402.801,1.57859,1.63308,1.3848,0.61102,0.45025,0.53992,0.25404,1.93411,1.90594,1.62066,0.000675023,0.000675023,0.000675023
15,430.814,1.55091,1.58032,1.35963,0.4739,0.51133,0.48604,0.22222,1.97235,2.01721,1.67948,0.000657025,0.000657025,0.000657025
16,457.98,1.51592,1.51122,1.35098,0.50285,0.55818,0.49449,0.22064,1.93229,1.869,1.63202,0.000639027,0.000639027,0.000639027
17,482.458,1.49351,1.48123,1.33937,0.59242,0.53106,0.54258,0.22927,1.97815,1.95127,1.67292,0.000621029,0.000621029,0.000621029
18,506.101,1.49394,1.44958,1.33891,0.4814,0.64962,0.53119,0.24028,1.95557,1.71734,1.63511,0.000603031,0.000603031,0.000603031
19,529.02,1.47653,1.41633,1.323,0.50366,0.573,0.55084,0.24584,1.96207,1.73277,1.68399,0.000585032,0.000585032,0.000585032
20,552.861,1.45471,1.3246,1.29766,0.50161,0.47729,0.53059,0.24396,1.95179,1.91906,1.65028,0.000567034,0.000567034,0.000567034
21,578.282,1.42445,1.32612,1.29607,0.46892,0.62224,0.53729,0.25378,1.9147,1.79933,1.61409,0.000549036,0.000549036,0.000549036
22,605.128,1.40102,1.29577,1.27256,0.60965,0.59025,0.59808,0.28346,1.96156,1.67398,1.62282,0.000531038,0.000531038,0.000531038
23,633.288,1.39104,1.28787,1.27123,0.48129,0.54556,0.48314,0.21386,1.98379,1.98314,1.70824,0.00051304,0.00051304,0.00051304
24,660.593,1.35632,1.22658,1.25323,0.54409,0.54207,0.54246,0.25599,1.96301,1.76323,1.64892,0.000495041,0.000495041,0.000495041
25,685.355,1.35885,1.22917,1.24825,0.59664,0.50213,0.5345,0.22347,1.97123,1.82866,1.68984,0.000477043,0.000477043,0.000477043
26,707.492,1.31684,1.18384,1.21873,0.50982,0.57238,0.55291,0.25778,1.93771,1.77627,1.65692,0.000459045,0.000459045,0.000459045
27,733.151,1.30817,1.13805,1.20514,0.49827,0.48041,0.51106,0.23431,2.00937,1.84933,1.69787,0.000441047,0.000441047,0.000441047
28,759.582,1.27644,1.09118,1.1992,0.48596,0.61562,0.56787,0.27437,1.89112,1.7065,1.60765,0.000423049,0.000423049,0.000423049
29,785.051,1.27516,1.09282,1.19702,0.50973,0.5792,0.57667,0.26687,1.92788,1.7781,1.64493,0.00040505,0.00040505,0.00040505
30,812.335,1.25493,1.07468,1.18504,0.52584,0.57844,0.56979,0.25882,1.9604,1.75869,1.7011,0.000387052,0.000387052,0.000387052
31,1259.55,1.23437,1.05011,1.17255,0.60029,0.57064,0.60549,0.26093,2.01179,1.60975,1.71073,0.000369054,0.000369054,0.000369054
32,1312.2,1.21378,1.02819,1.16494,0.65923,0.49275,0.56206,0.24772,2.03489,1.75607,1.74013,0.000351056,0.000351056,0.000351056
33,1344.3,1.21264,1.01523,1.15654,0.58518,0.52502,0.56058,0.27014,1.97099,1.75588,1.69953,0.000333058,0.000333058,0.000333058
34,1372.33,1.18661,0.99735,1.14949,0.6561,0.45905,0.53564,0.26067,1.97426,1.93277,1.68412,0.000315059,0.000315059,0.000315059
35,1403.76,1.1505,0.94926,1.13577,0.50524,0.61578,0.57584,0.24498,2.07298,1.72065,1.80639,0.000297061,0.000297061,0.000297061
